id, ,text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
51,24870,"mua 3 bịch bỉm thanh_toán đủ tiền , quà thì đã nhận đủ , bỉm thì giao thiếu 1 bịch , đã gọi điện_thoại tổng_đài và đang đợi chuyển trả 1 bịch bỉm , lòng",0,1,0,0,-1,0
52,24869,"giao hàng cực nhanh . đóng_gói chắc_chắn . good ! , kì hài_lòng",0,0,0,0,1,0
53,24868,"sao bữa_nay shop đóng_gói xấu quá . mới nhận nên không biết bên trong sao nữa , hài_lòng",0,0,0,0,-1,0
54,24867,"bỉm khá thoáng , mỏng , cảm_giác bé mặc rất dễ_chịu , tè ít thì khô_ráo . tuy_nhiên do bỉm mỏng nên không phù_hợp khi bé tè nhiều về đêm , sáng dậy 1 bỉm bõng bõng nước ( nhưng không bị tràn ra ngoài ) . bé mình 9kg , bắp_đùi khá to nên mặc kích_thước xl , lòng",0,0,0,1,0,0
55,24866,"mình toàn mua combo này cho 2 cháu ở nhà do giá cạnh_tranh cộng đóng_gói và vận_chuyển của tiki tốt vô_cùng . , kì hài_lòng",1,0,0,0,1,0
56,24865,"giao hàng nhanh quà tặng đẹp chất_lượng sữa mình chưa thử nên không biết , kì hài_lòng",0,1,0,0,1,0
58,24863,"hàng_y hình , thích , sẽ ủng_hộ tiếp_tục . cảm_ơn shop và tiki ❤ ️ , kì hài_lòng",0,0,0,0,0,1
59,24862,"sản_phẩm tiện_lợi cho người dùng , mẫu_mã bắt_mắt , dễ sử_dụng . , quần em bé",0,0,0,1,0,0
61,24860,"tôi đánh_giá sản phầm 5 sao , nhưng cách phục_vụ của tiki chỉ cho 2 sao , đơn hàng này được giao nhanh 2h - - -> về thời_gian giao hàng chuẩn như cam_kết , có_điều tôi thấy một_số điểm chưa ổn : , trừ đây là lần thứ 2 tôi đặt hang giao nhanh , và thấy đăc điểm chung của hàng giao nhanh là bụi và bẩn , không_những vậy lần này đặt 3 lon enfa thì móp méo những 2 lon và nắp thì khá nhiều bụi , trừ thứ hai là về chương_trình khuyến_mại : mua 1 lon tặng cái gối bông , còn 3 lon thì tặng bàn học ( tiki có ghi là cho đến khi hết quà ... ) nhưng tôi thấy điều này chưa hợp_lý vì việc biết còn quà hay không tiki có_thể hoàn_toàn cài trên hệ_thống và báo cho khách_hàng khi đặt hoặc bỏ luôn những thông_báo kiểu như_vậy để không gây hiểu lầm . tôi định đặt 1 lon nhưng lại cố đặt luôn 3 lon vì có chương_trình và khi nhận hàng hơi thất_vọng , trình khuyến_mại không rõ_ràng",0,-1,0,-1,-1,0
62,24859,"giao hàng chậm ( 1 tuần ) , bỉm này kích_thước nhỏ , bé 9kg mình đặt xl vừa i , các mom cân_nhắc lên kích_thước cho bé , ko có vạch báo tả tràn , bỉm mỏng , đồ_chơi_đẹp , con mình thích , thường",0,1,0,-1,-1,0
63,24858,"lúc mua có để tặng kèm cái hộp thủy_tinh mà khi nhận không có . chán , hài_lòng",0,-1,0,0,0,0
65,24856,"bỉm mới hạn sử_dụng xa , đóng_gói cẩn_thận , kích_thước l trẻ từ 9kg đến 14kg , bé ở nhà chỉ 10.5 kg nhưng mặc_cảm_giác chật ( bobby l mặc vừa thoải_mái ) . nếu so với bobby thì mùi hương dễ_chịu hơn nhưng vốn cục hơn cả 2 đều không bị tràn . ý_kiến cá_nhân tả bobby chất_lượng hơn . , xét sản_phẩm so với bobby",0,0,1,-1,1,0
66,24855,"tã quần_bobby gói cực_đại l54 sử_dụng tốt sạch_sẽ thoáng mát phù_hợp cho bé . , quần_bobby gói cực_đại_l54",0,0,1,1,0,0
67,24854,"giao hàng mỏng hơn loại cũ . mình mua 445k giá_cả hợp_lý , kì hài_lòng",1,0,0,1,1,0
68,24853,"đã mua nhiều lần . sẽ ủng_hộ tiếp_tục , kì hài_lòng",0,0,0,0,0,0
69,24852,"giá giảm 50 % , mình mua nhìu cho bé dùng dần , hạn sử_dụng hơi cũ nhưng bao_bì mới , sản_phẩm vẫn dùng tốt , sẽ tiếp_tục ủng_hộ , kì hài_lòng",1,0,-1,1,0,0
70,24851,"oke lam shop , kì hài_lòng",0,0,0,0,0,0
71,24850,"dùng thấm hút tốt , kì hài_lòng",0,0,0,1,0,0
72,24849,"tã dùng ok , giá mềm . kích_thước to hơn các hãng khác . dùng rất thích , kì hài_lòng",1,0,0,1,0,0
73,24848,"hàng giao đúng hạn như thông_báo , bao_bì đóng_gói ok , kì hài_lòng",0,0,0,1,1,0
75,24846,"bình này cũng thường thôi không giữ nhiệt được bao_lâu , thường",0,0,0,0,0,0
76,24845,"bỉm thấm hút tốt , giao hàng nhanh , đóng_gói cẩn kì hài_lòng",0,0,0,1,1,0
77,24844,"tiki giao hàng nhanh , nhân_viên nhiệt_tình vui_vẻ , hàng tốt , sẽ tiếp_tục ủng_hộ ! , lòng",0,0,0,1,1,0
79,24842,"hàng chính hãng . đợt này mua có tặng kèm 6 miếng mỗi túi nên giá khá mềm so với giá nguyên . khá hài_lòng . mình mua của giao hàng rất nhanh , tối cn đặt thì trưa t2 giao rồi . , kì hài_lòng",1,0,0,0,1,1
80,24841,"giao hàng nhanh_chóng đóng_gói cẩn_thận , lòng",0,0,0,0,1,0
83,24838,"sản_phẩm rất tốt giao hàng rất nhiệt_tình rất thích , kì hài_lòng",0,0,0,1,1,0
84,24837,"giá sale rất tốt , kì hài_lòng",1,0,0,0,0,0
86,24835,"sản_phẩm rất tuyệt_vời ! ! ! , kì hài_lòng",0,0,0,0,0,0
88,24833,"giá hơi cao , nếu có thêm mã giảm_giá thì tốt , giá hơi cao , nếu có thêm mã giảm_giá thì tốt , hơi cao , nếu có thêm mã giảm_giá thì tốt",-1,0,0,0,0,0
89,24832,"rẻ so với giá ngoài chợ ! nhận hàng nhanh sẽ ủng_hộ 👍 👍 , lòng",1,0,0,0,1,0
92,24829,"khá hài_lòng về sản_phẩm . , kì hài_lòng",0,0,0,0,0,0
93,24828,"giao hàng nhanh sản_phẩm ok , kì hài_lòng",0,0,0,1,1,0
94,24827,"bỉm y hình . tiki giao hàng nhanh , kì hài_lòng",0,0,0,0,1,1
97,24824,"mua của shop lần này là lần thứ 3 nhưng cực_kì thất_vọng về cách gói hàng . không hề có hộp hay đơn_giản nhất là xốp giảm sốc , chỉ quấn nilong xung_quanh , m nhận được hộp sữa móp méo luôn ạ . , thường",0,0,0,-1,-1,0
98,24823,"hàng chính hãng , giá thì mềm , sữa tốt con tốt rất thích uống , ủng_hộ tiki , lượng tốt 5 sao",1,0,0,1,0,1
99,24822,"rất hài_lòng , sản_phẩm và hàng tặng kèm đúng như trong hình . , kì hài_lòng",0,1,0,0,0,1
102,24819,"sữa thơm dễ uống , bé nhà mình thích uống ngay lần đầu khi mua hộp 40 gam , thấy bé chịu hợp_tác như_vậy nên mình cũng vui nên đặt mua thêm cho bé uống , mình biết đến sữa care 100 + này qua lời giới_thiệu của bạn mình , kì hài_lòng",0,0,0,1,0,0
103,24818,"hàng chính hãng , kì hài_lòng",0,0,0,0,0,1
104,24817,"giao hàng nhanh , shop đóng_gói rất đẹp và chắc_chắn nha . , shipper cũng thân_thiện , kì hài_lòng",0,0,0,0,1,0
105,24816,"tràn ra ngoài và vón cục , không hài_lòng",0,0,0,-1,0,0
107,24814,"hàng hạn sử_dụng mới , giá tốt , giao hàng nhanh . nhân_viên nhiệt_tình . , kì hài_lòng",1,0,1,0,1,0
110,24811,"tã xịn loại mới đóng cả đêm không bị tràn không bị thít bụng . tin_dùng pamper , kì hài_lòng",0,0,0,1,0,0
111,24810,"y mô_tả , kì hài_lòng",0,0,0,0,0,1
112,24809,"sản_phẩm mới kích_thước lớn hơn trước , đệm lưng mềm_mại hơn cho bé . size tả đúng với tiêu_chuẩn , kì hài_lòng",0,0,0,1,0,0
115,24806,"giao hàng tốt , kì hài_lòng",1,0,0,0,1,0
116,24805,"sản_phẩm hợp với giá tiền chất_liệu cũng oke sẽ ủng_hộ tiki tiếp , lòng",1,0,0,1,0,0
117,24804,"có ít mùi nhưng được_cái phần chun bỉm mềm không bị hằn trên da bé , chắc là bé cảm_thấy thoải_mái rồi 😂 , kì hài_lòng",0,0,0,1,0,0
118,24803,"giao hàng nhanh ! , kì hài_lòng",0,0,0,0,1,0
119,24802,"nhìn_chung là ổn , vận_chuyển nhanh , mong shop tiếp_tục phát_huy . , lòng",0,0,0,0,1,0
121,24800,"dùng thích . sản_phẩm tốt , sẽ ủng_hộ , kì hài_lòng",0,0,0,1,0,0
122,24799,"ghi là bao_bì mới , bỉm vừa bẩn vừa cũ , sản_xuất mua hàng tiki thế này quá thất_vọng , đặt lúc mấy đơn mà giờ không huỷ được mới buồn , không hài_lòng",0,-1,-1,0,0,0
123,24798,"tả mỏng mà thấm hút rất tốt , kì hài_lòng",0,0,0,1,0,0
124,24797,"giao hàng nhanh , đóng_gói cẩn_thận , kì hài_lòng",0,0,0,0,1,0
125,24796,"tiki giao hàng đúng hẹn , sản_phẩm đảm_bảo . bé nhà mình dùng rất ưng , phẩm tốt !",0,0,0,1,1,0
129,24792,"tả mềm nhẹ mỏng . lưng hơi ít thun nên chắc bé lớn thêm chút mới . mặc vừa , kì hài_lòng",0,0,0,1,0,0
131,24790,"hàng giao nhanh nhưng nhân_viên giao hàng kẹp hàng vào háng gây khó_chịu . , hài_lòng",0,0,0,0,-1,0
132,24789,"hạn sử_dụng xa . mua hàng trên tiki lúc_nào cũng hài_lòng . sản_phẩm_chất_lượng . sẽ tiếp_tục mua huggies trên tiki dài_dài , chất_lượng .",0,0,1,1,0,0
134,24787,"mới sử_dụng lần đầu , tè 1 lần mà bỉm đã chảy xệ ra . , thường",0,0,0,-1,0,0
136,24785,"sản_phẩm_chất_lượng . , lòng",0,0,0,1,0,0
137,24784,"sản_phẩm tốt , đóng_gói cẩn_thận , không bị móp trong quá_trình vận_chuyển , kì hài_lòng",0,0,0,1,1,0
139,24782,"lừa_đảo , lúc đặt_hàng thì hiển_thị quà tặng kèm . đến lúc nhận hàng thì không thấy quà tặng . gọi điện khiếu_nại thì bảo phải có chụp màn_hình làm_chứng . , hài_lòng",0,-1,0,0,0,0
140,24781,"cũng tạm được , màu_sắc oke , thường",0,0,0,0,0,0
141,24780,"giao hàng nhanh , đóng_gói cẩn_thận . tả bobby loại này lưng hút mồ_hôi nên rất thoáng cho bé vận_động thoải_mái . , kì hài_lòng",0,0,0,1,1,0
142,24779,"giao hàng nhanh_chóng_mặt , sản_phẩm tốt . , kì hài_lòng",0,0,0,1,1,0
143,24778,"rất hài_lòng nhé , kì hài_lòng",0,0,0,0,0,0
144,24777,"đóng_gói đẹp và giao hàng nhanh_chóng , fan tiki lâu_dài . , kì hài_lòng",0,0,0,0,1,0
145,24776,"tả không giữ form như quảng_cáo . mặc có chút_xíu mà đã bị chảy xệ rồi . : ( , không hài_lòng",0,0,0,-1,0,0
148,24773,"hàng giao y hình . đóng_gói cẩn_thận . giao hàng nhanh , chu_đáo . cám_ơn tiki nhé ! , kì hài_lòng",0,1,0,0,1,1
150,24771,"sản_phẩm rất tốt , mềm và thấm hút rất thích . so với boby và hugies thì giá_thành đắt hơn , . hy_vọng giá tốt hơn nữa thì ok , phẩm yêu thích",-1,0,0,1,0,0
151,24770,"tả thấm hút tương_đối nhưng quá dày . bé tè vào nữa là nó dày cộm lên nữa . , thường",0,0,0,-1,0,0
152,24769,"bỉm thấm hút tốt , mình sẽ tiếp_tục ủng_hộ , kì hài_lòng",0,0,0,1,0,0
153,24768,"sản_phẩm rất tốt , lại được giảm_giá nhờ chương_trình khuyến_mãi . ,",1,1,0,1,0,0
154,24767,"nhận hàng nhanh , kì hài_lòng",0,0,0,0,1,0
156,24765,"tiki giao hàng rất nhanh . săn được sale giá rẻ mà hàng chất_lượng nên rất hài_lòng , kì hài_lòng",1,0,0,1,1,0
157,24764,"giá tốt . mẫu mới đẹp . bên trong tả được đóng vào bao trắng sạch_sẽ gọn_gàng dù có rách bao ngoài cũng không lo_ngại . bobby có cải_tiến khá ok . , kì hài_lòng",1,0,0,1,1,0
158,24763,"bỉm dùng rất thích giá_cả hợp_lý giao hàng nhanh , kì hài_lòng",1,0,0,1,1,0
159,24762,"sản_phẩm_chất_lượng tốt , đóng_gói cẩn_thận đặc_biệt giao hàng rất là nhanh . shipber nhiệt_tình . sẽ ủng_hộ shop lâu_dài , kì hài_lòng",0,0,0,1,1,0
160,24761,"lưng quần cực_kì mềm_mại , bé mặc không bị vết hằn . bỉm có phân_biệt trước sau thuận_tiện cho mẹ , êm_ái cho bé . , tiki giao hàng nhanh , báo thứ 7 mới giao mà thứ 4 đi làm về đã thấy rồi , lòng",0,0,0,1,1,0
161,24760,"mình mua tã bobby trên tiki lần đầu do có mã giảm_giá giảm 10 % , giá sau khi giảm rất tốt nên mình mua một lần 3 gói luôn . tã này con mình dùng từ mới sinh tới giờ , trải qua nhiều kích_thước và đang dừng ở kích_thước xl. tã thấm hút tốt , thun co_giãn không làm đau bé . hiện 1 ngày bé mình sử_dụng 4 miếng thôi ( bé 19 tốt",1,0,0,1,0,0
163,24758,"oke sữa ngon , kì hài_lòng",0,0,0,1,0,0
165,24756,"giao hàng cực nhanh . chưa tới 24h đã giao đến dù mình ở khá xa . sản_phẩm tã chưa sử_dụng nên chưa đánh_giá đc , kì hài_lòng",0,0,0,0,1,0
166,24755,"bề_mặt tả mềm_mại , thấm hút ở mức trung_bình thôi chứ không quá cao , điều mình thích nhất để chuyển từ huggies sang bobby là lưng thun không bị hằn chặt , và có băng_dính để cuốn tả lại rất tiện , bobby còn thường_xuyên tặng quà nữa nên điểm này rất thu_hút , thường",0,1,0,1,0,0
167,24754,"giao quà tặng không đúng gì hết ? ? ? ? , không hài_lòng",0,-1,0,0,0,0
168,24753,"khuyên chân_thành đừng có mua . , không hài_lòng",0,0,0,0,0,0
170,24751,"hàng sử_dụng oke lắm , kì hài_lòng",0,0,0,0,0,0
171,24750,"sản_phẩm dùng tốt , bé nhà tôi dùng toàn sản_phẩm của không có gì phải phàn_nàn cả , các bạn nên mua nó về dùng cho các bé . sp đóng_gói đẹp và giao hàng nhanh , tuyêt vời . ,",0,0,0,1,1,0
172,24749,"sản_phẩm tốt , chất_lượng , giao hàng nhanh , đóng_gói đẹp , kì hài_lòng",0,0,0,1,1,0
175,24746,"chất_lượng , uy_tín , oke ! , kì hài_lòng",0,0,0,1,0,1
176,24745,"tã hút hàng chính hãng lên mọi ng yên_tâm nhé , quần bobby jumbo_ultra",0,0,0,1,1,1
178,24743,"quần_bỉm hơi dày , không được mỏng , thấm hút được . , hài_lòng",0,0,0,-1,0,0
179,24742,"sản_phẩm dùng ok , chỉ là mùi hơi nồng . khả_năng thấm hút khá tốt . , lòng",0,0,0,-1,0,0
180,24741,"tốt , hài_lòng sẽ còn ủng_hộ lâu_dài nè , thanks shop , kì hài_lòng",0,0,0,0,0,0
181,24740,"sx 11 / 20 ok . tiki rất hay bị lỗi lưu kho xuất hàng không check date . dùng qua đêm không vón hay ẩm mông . giá cao , kì hài_lòng",-1,0,0,1,0,0
182,24739,"mua được giá sale có 300k 4 bịch quá rẻ so với giá thị_trường , kì hài_lòng",1,0,0,0,0,0
183,24738,"con mình hay dùng loại này tã thấm hút tốt , mà mặc mùa hè hơi nóng mới bí . mình toàn đặt tã trên tiki rẻ hơn ở ngoài lại kì hài_lòng",1,0,0,-1,1,0
184,24737,"sản_phẩm đúng như mô_tả . dịch_vụ tiki now nên giao hàng rất nhanh . hài_lòng . , lòng .",0,0,0,0,1,1
185,24736,"tiki xem_lại nhân_viên giao hàng , lúc nhận hàng_không để_ý về thấy bị rọc rách bao , rách luôn tã bên trong , không biết rọc để làm gì nữa , hàng bị rọc rách bao_bì , rách tã bên trong",0,0,0,-1,-1,0
186,24735,"hàng oke lắm nha sẽ ủng_hộ , kì hài_lòng",0,0,0,0,0,0
187,24734,"sản_phẩm tốt , đóng_gói cẩn_thận , giao hàng khá nhanh , lòng",0,0,0,1,1,0
189,24732,"đóng_gói hàng rất sơ xài . dính dán tùm_lum bên ngoài vỏ lon . chất_lượng sữa tốt . , lòng",0,0,0,1,-1,0
190,24731,"hàng chất_lượng rất tốt . , kì hài_lòng",0,0,0,1,0,0
191,24730,"rất hài ảnh . , kì hài_lòng",0,0,0,0,0,0
192,24729,"bỉm thấm hút tốt , giá_thành rẻ , giao hàng nhanh . tuy_nhiên lưng thun hơi rộng và bỉm rất nhanh đầy , lòng",1,0,0,-1,1,0
194,24727,"giao hàng nhanh . hàng mới đóng_gói cẩn_thận . tiki trading giao hàng đảm_bảo , lượng sản_phẩm tuyệt_vời",0,1,0,0,1,0
196,24725,"tã hạn sử_dụng nhẹ , tầm giá này sử_dụng oke nhé . , kì hài_lòng",1,0,1,1,0,0
197,24724,"giao hàng nhanh . mẫu mới đẹp . đồ_chơi khác hoàn_toàn với trong hình , tuy_nhiên cũng dễ_thương . mình hy_vọng lần sau tiki đăng đúng hình quà tặng để tránh gây hụt_hẫng khi nhận ạ . , kì hài_lòng",0,1,0,1,1,0
200,24721,"nhận hàng đúng hình sản_phẩm . đúng yêu_cầu , giao hàng nhanh , lòng",0,0,0,0,1,1
201,24720,"bỉm mùi ghê quá , không giống mấy lần trước mình mua shop khác : ( mà dễ cộm , thường",0,0,0,-1,0,0
202,24719,"tiki giao hàng kì_vậy , còn 2 tháng hết date . ai dám tin_tưởng mua hàng nữa , cho tui câu trã lời , kì hài_lòng",0,0,-1,0,0,0
203,24718,"tốt và mềm_mại hơn so với các loại tã khác ! sẽ tiếp_tục ủng_hộ shop ! ,",0,0,0,1,0,0
204,24717,"tả quần sử_dụng thích quá đi . tả siêu nhẹ , êm , không mùi . , tả này form hơi to . bé mình 9kg , mang m vẫn rất ok . , quà tặng rất thích . lần trước thì ngựa pony , lần này là balo xinh_xắn . rất đẹp , kì hài_lòng",0,1,0,1,0,0
206,24715,"to hơn mình nghĩ . rộng_rãi . , lòng",0,0,0,0,0,0
207,24714,"size l nhưng bé 9kí đã mặc chật nít 🥴 🥴 , hài_lòng",0,0,0,-1,0,0
209,24712,"trước sử_dụng bobby , không ưng nên đổi qua sử_dụng tới giờ , chỉ chờ sale để mua tã cho con , kì hài_lòng",0,0,0,0,0,0
211,24710,"thiết_kế khác hẳn so với các loại bỉm khác . chất_lượng giá_cả ngang k cần tăng kích_thước khi mua nhé các mom . trải ngiệm rất ok , kì hài_lòng",1,0,0,1,0,0
212,24709,"tã êm nhưng khá dày , con tè nhanh đầy và rất dày , nặng . , lòng",0,0,0,-1,0,0
214,24707,"tã mỏng , chỉ mặc được ban_ngày , chứ bé tè 1 lần là đầy rồi nên phải thay luôn , thấy sử_dụng cũng khá hao mà thôi mỏng là đc , để mông bé không bị ẩm_ướt , khó_chịu . thấm hút tạm đc , thấy không tốt bằng goon hay lòng",0,0,1,-1,0,0
215,24706,"mua hàng ở tiki luôn an_tâm về chất_lượng sản_phẩm , nhưng sao ít thấy sản_phẩm tả huggies có quà tặng vậy tiki , hơi thất_vọng xíu về đầu đó , lòng",0,-1,0,1,0,0
216,24615,"đặt_hàng hôm trước . hôm sau đã nhận rồi . quá nhanh tiki ơi , kì hài_lòng",0,0,0,0,1,0
218,24613,"hàng chuẩn , tiki giao nhanh và đóng_gói kỹ_càng . quà tặng kèm là vali nhựa , phù_hợp cho bé đi picnic hơn là đi học ! , kì hài_lòng",0,1,0,1,1,1
219,24612,"đó giờ sử_dụng tã hg này thấy oke nhưng sao lần này thấy tã có vón cục nhỏ nhỏ cứng cứng gì bên trong , lòng",0,0,0,-1,0,0
220,24611,"tả ổn , giá_cả hợp_lý , tuy_nhiên có mùi trà xanh hơi khó_chịu . , ổn , giá_cả hợp_lý , tuy_nhiên có mùi tra xanh hơi khó_chịu .",1,0,0,-1,0,0
221,24610,"thun lưng cứng trật hút tốt , hài_lòng",0,0,0,-1,0,0
222,24609,"sản_phẩm đẹp , thấm hút tốt . tuy_nhiên tiki giao hàng lâu , thời_gian dự_kiến giao hàng là ngày nhưng đến ngày mình mới nhận được hàng . làm mình phải đi mua bịch bỉm nhỏ khác về dùng . , lòng",0,0,0,1,-1,0
223,24608,"sữa hơi lạc hơn các loại sữa khác , nên bé nào uống ngọt thì cần chú_ý trước khi mua . , kì hài_lòng",0,0,0,0,0,0
224,24607,"nếu tả có miếng dán phía sau để gói gọn sau sử_dụng thì sẽ là 5 * , kì hài_lòng",0,0,0,0,0,0
225,24606,"siêu mỏng quá chưa dùng không biết sản_phẩm có tốt ko , lòng",0,0,0,0,0,0
226,24605,"đã mua lần thứ 2 . rất hài_lòng , giao hàng nhanh , đặt chiều thứ 2 thì chiều thứ 3 nhận được hàng , kì hài_lòng",0,0,0,0,1,0
227,24604,"mình mua lần này 02 hộp nên được khuyến_mãi . tiki giao hàng đúng hạn , đóng_gói cẩn_thận . đặt biệt là chất_lượng sữa tốt . , phẩm_chất_lượng tốt",0,1,0,1,1,0
228,24603,"bên trong có 2 bọc riêng không giống loại những lần trước mua , hàng giao cũng chậm hơn những lần trước , hài_lòng",0,0,0,-1,-1,0
229,24602,"sản_phẩm nhìn cũ , túi ngoài bị xước và bẩn nên không ưng lắm , thường",0,0,0,-1,0,0
230,24601,"tã thấm hút không bị tràn và hăm mông bé mặc vừa_vặn , kì hài_lòng",0,0,1,1,0,0
235,24596,"giá_cả phải_chăng , thấm hút tốt , bé không bị hăm tã tin_tưởng và sử_dụng tiki ,",1,0,1,1,0,0
236,24595,"chất_lượng tã ok , nhưng thời_gian giao hàng đợt này quá lâu . , hàng chậm hơn dự_kiến",0,0,0,1,-1,0
237,24594,"giá tốt dùng tốt , kì hài_lòng",1,0,0,1,0,0
238,24593,"sản_phẩm phù_hợp giá tiền , kì hài_lòng",0,0,0,0,0,0
239,24592,"oke , giao hàng phẩm vẫn tốt như mọi lần mình mua ở siêu_thị , lòng",0,0,0,1,1,0
240,24591,"ưng quà kèm theo quá , sữa hạn sử_dụng tháng nói_chung là hợp_lý , kì hài_lòng",0,1,1,0,0,0
241,24590,"đóng_gói cẩn_thận hàng dùng tốt , lòng",0,0,0,1,1,0
246,24585,"giao hàng chậm . hài_lòng về sản_phẩm , kì hài_lòng",0,0,0,1,-1,0
